X1,X2,X3,X4,X5,X6,X7,X8,Y2,VAL
0.66,759.50,318.50,220.50,3.50,3,0.00,0,12.23,1.0
0.66,759.50,318.50,220.50,3.50,4,0.00,0,12.40,1.0
0.66,759.50,318.50,220.50,3.50,5,0.00,0,12.14,1.0
0.64,784.00,343.00,220.50,3.50,2,0.00,0,16.78,1.0
0.64,784.00,343.00,220.50,3.50,3,0.00,0,16.80,1.0
0.64,784.00,343.00,220.50,3.50,4,0.00,0,16.75,1.0
0.64,784.00,343.00,220.50,3.50,5,0.00,0,16.67,1.0
0.62,808.50,367.50,220.50,3.50,2,0.00,0,12.07,1.0
0.62,808.50,367.50,220.50,3.50,3,0.00,0,12.22,1.0
0.62,808.50,367.50,220.50,3.50,4,0.00,0,12.08,1.0
0.62,808.50,367.50,220.50,3.50,5,0.00,0,12.04,1.0
0.98,514.50,294.00,110.25,7.00,2,0.10,1,26.47,1.0
0.98,514.50,294.00,110.25,7.00,3,0.10,1,26.37,1.0
0.98,514.50,294.00,110.25,7.00,4,0.10,1,26.44,1.0
0.98,514.50,294.00,110.25,7.00,5,0.10,1,26.29,1.0
0.90,563.50,318.50,122.50,7.00,2,0.10,1,32.92,1.0
0.90,563.50,318.50,122.50,7.00,3,0.10,1,29.87,1.0
0.90,563.50,318.50,122.50,7.00,4,0.10,1,29.58,1.0
0.90,563.50,318.50,122.50,7.00,5,0.10,1,34.33,1.0
0.86,588.00,294.00,147.00,7.00,2,0.10,1,30.89,1.0
0.86,588.00,294.00,147.00,7.00,3,0.10,1,25.60,1.0
0.86,588.00,294.00,147.00,7.00,4,0.10,1,27.03,1.0
0.86,588.00,294.00,147.00,7.00,5,0.10,1,31.73,1.0
0.82,612.50,318.50,147.00,7.00,2,0.10,1,27.31,1.0
0.82,612.50,318.50,147.00,7.00,3,0.10,1,24.91,1.0
0.82,612.50,318.50,147.00,7.00,4,0.10,1,24.61,1.0
0.82,612.50,318.50,147.00,7.00,5,0.10,1,28.51,1.0
0.79,637.00,343.00,147.00,7.00,2,0.10,1,41.68,1.0
0.79,637.00,343.00,147.00,7.00,3,0.10,1,35.28,1.0
0.79,637.00,343.00,147.00,7.00,4,0.10,1,34.43,1.0
0.79,637.00,343.00,147.00,7.00,5,0.10,1,43.33,1.0
0.76,661.50,416.50,122.50,7.00,2,0.10,1,33.87,1.0
0.76,661.50,416.50,122.50,7.00,3,0.10,1,34.07,1.0
0.76,661.50,416.50,122.50,7.00,4,0.10,1,34.14,1.0
0.76,661.50,416.50,122.50,7.00,5,0.10,1,33.67,1.0
0.74,686.00,245.00,220.50,3.50,2,0.10,1,13.43,1.0
0.74,686.00,245.00,220.50,3.50,3,0.10,1,13.71,1.0
0.74,686.00,245.00,220.50,3.50,4,0.10,1,13.48,1.0
0.74,686.00,245.00,220.50,3.50,5,0.10,1,13.70,1.0
0.71,710.50,269.50,220.50,3.50,2,0.10,1,13.80,1.0
0.71,710.50,269.50,220.50,3.50,3,0.10,1,14.28,1.0
0.71,710.50,269.50,220.50,3.50,4,0.10,1,13.87,1.0
0.71,710.50,269.50,220.50,3.50,5,0.10,1,14.27,1.0
0.69,735.00,294.00,220.50,3.50,2,0.10,1,14.28,1.0
0.69,735.00,294.00,220.50,3.50,3,0.10,1,14.61,1.0
0.69,735.00,294.00,220.50,3.50,4,0.10,1,14.30,1.0
0.69,735.00,294.00,220.50,3.50,5,0.10,1,14.45,1.0
0.66,759.50,318.50,220.50,3.50,2,0.10,1,13.90,1.0
0.66,759.50,318.50,220.50,3.50,3,0.10,1,13.72,1.0
0.66,759.50,318.50,220.50,3.50,4,0.10,1,13.88,1.0
0.66,759.50,318.50,220.50,3.50,5,0.10,1,13.65,1.0
0.64,784.00,343.00,220.50,3.50,2,0.10,1,19.37,1.0
0.64,784.00,343.00,220.50,3.50,3,0.10,1,19.43,1.0
0.64,784.00,343.00,220.50,3.50,4,0.10,1,19.34,1.0
0.64,784.00,343.00,220.50,3.50,5,0.10,1,19.32,1.0
0.62,808.50,367.50,220.50,3.50,2,0.10,1,14.34,1.0
0.62,808.50,367.50,220.50,3.50,3,0.10,1,14.50,1.0
0.62,808.50,367.50,220.50,3.50,4,0.10,1,14.33,1.0
0.62,808.50,367.50,220.50,3.50,5,0.10,1,14.27,1.0
0.98,514.50,294.00,110.25,7.00,2,0.10,2,25.95,1.0
0.98,514.50,294.00,110.25,7.00,3,0.10,2,25.63,1.0
0.98,514.50,294.00,110.25,7.00,4,0.10,2,26.13,1.0
0.98,514.50,294.00,110.25,7.00,5,0.10,2,25.89,1.0
0.90,563.50,318.50,122.50,7.00,2,0.10,2,32.54,1.0
0.90,563.50,318.50,122.50,7.00,3,0.10,2,29.44,1.0
0.90,563.50,318.50,122.50,7.00,4,0.10,2,29.36,1.0
0.90,563.50,318.50,122.50,7.00,5,0.10,2,34.20,1.0
0.86,588.00,294.00,147.00,7.00,2,0.10,2,30.91,1.0
0.86,588.00,294.00,147.00,7.00,3,0.10,2,25.63,1.0
0.86,588.00,294.00,147.00,7.00,4,0.10,2,27.36,1.0
0.86,588.00,294.00,147.00,7.00,5,0.10,2,31.90,1.0
0.82,612.50,318.50,147.00,7.00,2,0.10,2,27.38,1.0
0.82,612.50,318.50,147.00,7.00,3,0.10,2,25.02,1.0
0.82,612.50,318.50,147.00,7.00,4,0.10,2,24.80,1.0
0.82,612.50,318.50,147.00,7.00,5,0.10,2,28.79,1.0
0.79,637.00,343.00,147.00,7.00,2,0.10,2,41.07,1.0
0.79,637.00,343.00,147.00,7.00,3,0.10,2,34.62,1.0
0.79,637.00,343.00,147.00,7.00,4,0.10,2,33.87,1.0
0.79,637.00,343.00,147.00,7.00,5,0.10,2,42.86,1.0
0.76,661.50,416.50,122.50,7.00,2,0.10,2,33.91,1.0
0.76,661.50,416.50,122.50,7.00,3,0.10,2,34.07,1.0
0.76,661.50,416.50,122.50,7.00,4,0.10,2,34.17,1.0
0.76,661.50,416.50,122.50,7.00,5,0.10,2,33.78,1.0
0.74,686.00,245.00,220.50,3.50,2,0.10,2,13.39,1.0
0.74,686.00,245.00,220.50,3.50,3,0.10,2,13.72,1.0
0.74,686.00,245.00,220.50,3.50,4,0.10,2,13.57,1.0
0.74,686.00,245.00,220.50,3.50,5,0.10,2,13.79,1.0
0.71,710.50,269.50,220.50,3.50,2,0.10,2,13.67,1.0
0.71,710.50,269.50,220.50,3.50,3,0.10,2,14.11,1.0
0.71,710.50,269.50,220.50,3.50,4,0.10,2,13.80,1.0
0.71,710.50,269.50,220.50,3.50,5,0.10,2,14.21,1.0
0.69,735.00,294.00,220.50,3.50,2,0.10,2,13.20,1.0
0.69,735.00,294.00,220.50,3.50,3,0.10,2,13.54,1.0
0.69,735.00,294.00,220.50,3.50,4,0.10,2,13.32,1.0
0.69,735.00,294.00,220.50,3.50,5,0.10,2,13.51,1.0
0.66,759.50,318.50,220.50,3.50,2,0.10,2,14.86,1.0
0.66,759.50,318.50,220.50,3.50,3,0.10,2,14.75,1.0
0.66,759.50,318.50,220.50,3.50,4,0.10,2,15.00,1.0
0.66,759.50,318.50,220.50,3.50,5,0.10,2,14.74,1.0
0.64,784.00,343.00,220.50,3.50,2,0.10,2,19.23,1.0
0.64,784.00,343.00,220.50,3.50,3,0.10,2,19.34,1.0
0.64,784.00,343.00,220.50,3.50,4,0.10,2,19.32,1.0
0.64,784.00,343.00,220.50,3.50,5,0.10,2,19.30,1.0
0.62,808.50,367.50,220.50,3.50,2,0.10,2,14.37,1.0
0.62,808.50,367.50,220.50,3.50,3,0.10,2,14.57,1.0
0.62,808.50,367.50,220.50,3.50,4,0.10,2,14.27,1.0
0.62,808.50,367.50,220.50,3.50,5,0.10,2,14.24,1.0
0.98,514.50,294.00,110.25,7.00,2,0.10,3,25.68,1.0
0.98,514.50,294.00,110.25,7.00,3,0.10,3,26.02,1.0
0.98,514.50,294.00,110.25,7.00,4,0.10,3,25.84,1.0
0.98,514.50,294.00,110.25,7.00,5,0.10,3,26.14,1.0
0.90,563.50,318.50,122.50,7.00,2,0.10,3,34.14,1.0
0.90,563.50,318.50,122.50,7.00,3,0.10,3,32.85,1.0
0.90,563.50,318.50,122.50,7.00,4,0.10,3,30.08,1.0
0.90,563.50,318.50,122.50,7.00,5,0.10,3,29.67,1.0
0.86,588.00,294.00,147.00,7.00,2,0.10,3,31.73,1.0
0.86,588.00,294.00,147.00,7.00,3,0.10,3,31.01,1.0
0.86,588.00,294.00,147.00,7.00,4,0.10,3,25.90,1.0
0.86,588.00,294.00,147.00,7.00,5,0.10,3,27.40,1.0
0.82,612.50,318.50,147.00,7.00,2,0.10,3,28.68,1.0
0.82,612.50,318.50,147.00,7.00,3,0.10,3,27.54,1.0
0.82,612.50,318.50,147.00,7.00,4,0.10,3,25.35,1.0
0.82,612.50,318.50,147.00,7.00,5,0.10,3,24.93,1.0
0.79,637.00,343.00,147.00,7.00,2,0.10,3,43.12,1.0
0.79,637.00,343.00,147.00,7.00,3,0.10,3,41.22,1.0
0.79,637.00,343.00,147.00,7.00,4,0.10,3,35.10,1.0
0.79,637.00,343.00,147.00,7.00,5,0.10,3,34.29,1.0
0.76,661.50,416.50,122.50,7.00,2,0.10,3,33.85,1.0
0.76,661.50,416.50,122.50,7.00,3,0.10,3,34.11,1.0
0.76,661.50,416.50,122.50,7.00,4,0.10,3,34.48,1.0
0.76,661.50,416.50,122.50,7.00,5,0.10,3,34.50,1.0
0.74,686.00,245.00,220.50,3.50,2,0.10,3,13.60,1.0
0.74,686.00,245.00,220.50,3.50,3,0.10,3,13.36,1.0
0.74,686.00,245.00,220.50,3.50,4,0.10,3,13.65,1.0
0.74,686.00,245.00,220.50,3.50,5,0.10,3,13.49,1.0
0.71,710.50,269.50,220.50,3.50,2,0.10,3,14.14,1.0
0.71,710.50,269.50,220.50,3.50,3,0.10,3,13.77,1.0
0.71,710.50,269.50,220.50,3.50,4,0.10,3,14.30,1.0
0.71,710.50,269.50,220.50,3.50,5,0.10,3,13.87,1.0
0.69,735.00,294.00,220.50,3.50,2,0.10,3,14.44,1.0
0.69,735.00,294.00,220.50,3.50,3,0.10,3,14.27,1.0
0.69,735.00,294.00,220.50,3.50,4,0.10,3,14.67,1.0
0.69,735.00,294.00,220.50,3.50,5,0.10,3,14.40,1.0
0.66,759.50,318.50,220.50,3.50,2,0.10,3,13.46,1.0
0.66,759.50,318.50,220.50,3.50,3,0.10,3,13.70,1.0
0.66,759.50,318.50,220.50,3.50,4,0.10,3,13.59,1.0
0.66,759.50,318.50,220.50,3.50,5,0.10,3,13.83,1.0
0.64,784.00,343.00,220.50,3.50,2,0.10,3,19.14,1.0
0.64,784.00,343.00,220.50,3.50,3,0.10,3,19.18,1.0
0.64,784.00,343.00,220.50,3.50,4,0.10,3,19.37,1.0
0.64,784.00,343.00,220.50,3.50,5,0.10,3,19.29,1.0
0.62,808.50,367.50,220.50,3.50,2,0.10,3,14.09,1.0
0.62,808.50,367.50,220.50,3.50,3,0.10,3,14.23,1.0
0.62,808.50,367.50,220.50,3.50,4,0.10,3,14.14,1.0
0.62,808.50,367.50,220.50,3.50,5,0.10,3,13.89,1.0
0.98,514.50,294.00,110.25,7.00,2,0.10,4,25.91,1.0
0.98,514.50,294.00,110.25,7.00,3,0.10,4,25.72,1.0
0.98,514.50,294.00,110.25,7.00,4,0.10,4,26.18,1.0
0.98,514.50,294.00,110.25,7.00,5,0.10,4,25.87,1.0
0.90,563.50,318.50,122.50,7.00,2,0.10,4,29.34,1.0
0.90,563.50,318.50,122.50,7.00,3,0.10,4,33.91,1.0
0.90,563.50,318.50,122.50,7.00,4,0.10,4,32.83,1.0
0.90,563.50,318.50,122.50,7.00,5,0.10,4,29.92,1.0
0.86,588.00,294.00,147.00,7.00,2,0.10,4,27.17,1.0
0.86,588.00,294.00,147.00,7.00,3,0.10,4,31.76,1.0
0.86,588.00,294.00,147.00,7.00,4,0.10,4,31.06,1.0
0.86,588.00,294.00,147.00,7.00,5,0.10,4,25.81,1.0
0.82,612.50,318.50,147.00,7.00,2,0.10,4,24.61,1.0
0.82,612.50,318.50,147.00,7.00,3,0.10,4,28.61,1.0
0.82,612.50,318.50,147.00,7.00,4,0.10,4,27.57,1.0
0.82,612.50,318.50,147.00,7.00,5,0.10,4,25.16,1.0
0.79,637.00,343.00,147.00,7.00,2,0.10,4,34.25,1.0
0.79,637.00,343.00,147.00,7.00,3,0.10,4,43.30,1.0
0.79,637.00,343.00,147.00,7.00,4,0.10,4,41.86,1.0
0.79,637.00,343.00,147.00,7.00,5,0.10,4,35.29,1.0
0.76,661.50,416.50,122.50,7.00,2,0.10,4,34.11,1.0
0.76,661.50,416.50,122.50,7.00,3,0.10,4,33.62,1.0
0.76,661.50,416.50,122.50,7.00,4,0.10,4,33.89,1.0
0.76,661.50,416.50,122.50,7.00,5,0.10,4,34.05,1.0
0.74,686.00,245.00,220.50,3.50,2,0.10,4,13.20,1.0
0.74,686.00,245.00,220.50,3.50,3,0.10,4,13.36,1.0
0.74,686.00,245.00,220.50,3.50,4,0.10,4,13.21,1.0
0.74,686.00,245.00,220.50,3.50,5,0.10,4,13.53,1.0
0.71,710.50,269.50,220.50,3.50,2,0.10,4,13.67,1.0
0.71,710.50,269.50,220.50,3.50,3,0.10,4,14.12,1.0
0.71,710.50,269.50,220.50,3.50,4,0.10,4,13.79,1.0
0.71,710.50,269.50,220.50,3.50,5,0.10,4,14.20,1.0
0.69,735.00,294.00,220.50,3.50,2,0.10,4,14.29,1.0
0.69,735.00,294.00,220.50,3.50,3,0.10,4,14.49,1.0
0.69,735.00,294.00,220.50,3.50,4,0.10,4,14.42,1.0
0.69,735.00,294.00,220.50,3.50,5,0.10,4,14.73,1.0
0.66,759.50,318.50,220.50,3.50,2,0.10,4,14.86,1.0
0.66,759.50,318.50,220.50,3.50,3,0.10,4,14.67,1.0
0.66,759.50,318.50,220.50,3.50,4,0.10,4,15.00,1.0
0.66,759.50,318.50,220.50,3.50,5,0.10,4,14.83,1.0
0.64,784.00,343.00,220.50,3.50,2,0.10,4,19.24,1.0
0.64,784.00,343.00,220.50,3.50,3,0.10,4,19.25,1.0
0.64,784.00,343.00,220.50,3.50,4,0.10,4,19.42,1.0
0.64,784.00,343.00,220.50,3.50,5,0.10,4,19.48,1.0
0.62,808.50,367.50,220.50,3.50,2,0.10,4,14.37,1.0
0.62,808.50,367.50,220.50,3.50,3,0.10,4,14.34,1.0
0.62,808.50,367.50,220.50,3.50,4,0.10,4,14.28,1.0
0.62,808.50,367.50,220.50,3.50,5,0.10,4,14.47,1.0
0.98,514.50,294.00,110.25,7.00,2,0.10,5,25.64,1.0
0.98,514.50,294.00,110.25,7.00,3,0.10,5,25.98,1.0
0.98,514.50,294.00,110.25,7.00,4,0.10,5,25.88,1.0
0.98,514.50,294.00,110.25,7.00,5,0.10,5,26.18,1.0
0.90,563.50,318.50,122.50,7.00,2,0.10,5,29.82,1.0
0.90,563.50,318.50,122.50,7.00,3,0.10,5,29.52,1.0
0.90,563.50,318.50,122.50,7.00,4,0.10,5,34.45,1.0
0.90,563.50,318.50,122.50,7.00,5,0.10,5,33.01,1.0
0.86,588.00,294.00,147.00,7.00,2,0.10,5,25.82,1.0
0.86,588.00,294.00,147.00,7.00,3,0.10,5,27.33,1.0
0.86,588.00,294.00,147.00,7.00,4,0.10,5,32.04,1.0
0.86,588.00,294.00,147.00,7.00,5,0.10,5,31.28,1.0
0.82,612.50,318.50,147.00,7.00,2,0.10,5,25.11,1.0
0.82,612.50,318.50,147.00,7.00,3,0.10,5,24.77,1.0
0.82,612.50,318.50,147.00,7.00,4,0.10,5,28.88,1.0
0.82,612.50,318.50,147.00,7.00,5,0.10,5,27.69,1.0
0.79,637.00,343.00,147.00,7.00,2,0.10,5,34.99,1.0
0.79,637.00,343.00,147.00,7.00,3,0.10,5,34.18,1.0
0.79,637.00,343.00,147.00,7.00,4,0.10,5,43.14,1.0
0.79,637.00,343.00,147.00,7.00,5,0.10,5,41.26,1.0
0.76,661.50,416.50,122.50,7.00,2,0.10,5,34.25,1.0
0.76,661.50,416.50,122.50,7.00,3,0.10,5,34.35,1.0
0.76,661.50,416.50,122.50,7.00,4,0.10,5,33.64,1.0
0.76,661.50,416.50,122.50,7.00,5,0.10,5,33.88,1.0
0.74,686.00,245.00,220.50,3.50,2,0.10,5,13.65,1.0
0.74,686.00,245.00,220.50,3.50,3,0.10,5,13.44,1.0
0.74,686.00,245.00,220.50,3.50,4,0.10,5,13.72,1.0
0.74,686.00,245.00,220.50,3.50,5,0.10,5,13.50,1.0
0.71,710.50,269.50,220.50,3.50,2,0.10,5,14.18,1.0
0.71,710.50,269.50,220.50,3.50,3,0.10,5,13.75,1.0
0.71,710.50,269.50,220.50,3.50,4,0.10,5,14.26,1.0
0.71,710.50,269.50,220.50,3.50,5,0.10,5,13.89,1.0
0.69,735.00,294.00,220.50,3.50,2,0.10,5,14.55,1.0
0.69,735.00,294.00,220.50,3.50,3,0.10,5,14.28,1.0
0.69,735.00,294.00,220.50,3.50,4,0.10,5,14.46,1.0
0.69,735.00,294.00,220.50,3.50,5,0.10,5,14.39,1.0
0.66,759.50,318.50,220.50,3.50,2,0.10,5,14.54,1.0
0.66,759.50,318.50,220.50,3.50,3,0.10,5,14.81,1.0
0.66,759.50,318.50,220.50,3.50,4,0.10,5,14.65,1.0
0.66,759.50,318.50,220.50,3.50,5,0.10,5,14.87,1.0
0.64,784.00,343.00,220.50,3.50,2,0.10,5,19.24,1.0
0.64,784.00,343.00,220.50,3.50,3,0.10,5,19.18,1.0
0.64,784.00,343.00,220.50,3.50,4,0.10,5,19.26,1.0
0.64,784.00,343.00,220.50,3.50,5,0.10,5,19.29,1.0
0.62,808.50,367.50,220.50,3.50,2,0.10,5,14.24,1.0
0.62,808.50,367.50,220.50,3.50,3,0.10,5,13.97,1.0
0.62,808.50,367.50,220.50,3.50,4,0.10,5,13.99,1.0
0.62,808.50,367.50,220.50,3.50,5,0.10,5,14.15,1.0
0.98,514.50,294.00,110.25,7.00,2,0.25,1,29.79,1.0
0.98,514.50,294.00,110.25,7.00,3,0.25,1,29.79,1.0
0.98,514.50,294.00,110.25,7.00,4,0.25,1,29.28,1.0
0.98,514.50,294.00,110.25,7.00,5,0.25,1,29.49,1.0
0.90,563.50,318.50,122.50,7.00,2,0.25,1,36.12,1.0
0.90,563.50,318.50,122.50,7.00,3,0.25,1,33.17,1.0
0.90,563.50,318.50,122.50,7.00,4,0.25,1,32.71,1.0
0.90,563.50,318.50,122.50,7.00,5,0.25,1,37.58,1.0
0.86,588.00,294.00,147.00,7.00,2,0.25,1,33.98,1.0
0.86,588.00,294.00,147.00,7.00,3,0.25,1,28.61,1.0
0.86,588.00,294.00,147.00,7.00,4,0.25,1,30.12,1.0
0.86,588.00,294.00,147.00,7.00,5,0.25,1,34.73,1.0
0.82,612.50,318.50,147.00,7.00,2,0.25,1,30.17,1.0
0.82,612.50,318.50,147.00,7.00,3,0.25,1,27.84,1.0
0.82,612.50,318.50,147.00,7.00,4,0.25,1,27.25,1.0
0.82,612.50,318.50,147.00,7.00,5,0.25,1,31.39,1.0
0.79,637.00,343.00,147.00,7.00,2,0.25,1,43.80,1.0
0.79,637.00,343.00,147.00,7.00,3,0.25,1,37.81,1.0
0.79,637.00,343.00,147.00,7.00,4,0.25,1,36.85,1.0
0.79,637.00,343.00,147.00,7.00,5,0.25,1,45.52,1.0
0.76,661.50,416.50,122.50,7.00,2,0.25,1,36.85,1.0
0.76,661.50,416.50,122.50,7.00,3,0.25,1,37.58,1.0
0.76,661.50,416.50,122.50,7.00,4,0.25,1,37.45,1.0
0.76,661.50,416.50,122.50,7.00,5,0.25,1,36.62,1.0
0.74,686.00,245.00,220.50,3.50,2,0.25,1,15.19,1.0
0.74,686.00,245.00,220.50,3.50,3,0.25,1,15.50,1.0
0.74,686.00,245.00,220.50,3.50,4,0.25,1,15.28,1.0
0.74,686.00,245.00,220.50,3.50,5,0.25,1,15.50,1.0
0.71,710.50,269.50,220.50,3.50,2,0.25,1,15.42,1.0
0.71,710.50,269.50,220.50,3.50,3,0.25,1,15.85,1.0
0.71,710.50,269.50,220.50,3.50,4,0.25,1,15.44,1.0
0.71,710.50,269.50,220.50,3.50,5,0.25,1,15.81,1.0
0.69,735.00,294.00,220.50,3.50,2,0.25,1,15.21,1.0
0.69,735.00,294.00,220.50,3.50,3,0.25,1,15.63,1.0
0.69,735.00,294.00,220.50,3.50,4,0.25,1,15.48,1.0
0.69,735.00,294.00,220.50,3.50,5,0.25,1,15.78,1.0
0.66,759.50,318.50,220.50,3.50,2,0.25,1,16.39,1.0
0.66,759.50,318.50,220.50,3.50,3,0.25,1,16.27,1.0
0.66,759.50,318.50,220.50,3.50,4,0.25,1,16.39,1.0
0.66,759.50,318.50,220.50,3.50,5,0.25,1,16.19,1.0
0.64,784.00,343.00,220.50,3.50,2,0.25,1,21.13,1.0
0.64,784.00,343.00,220.50,3.50,3,0.25,1,21.19,1.0
0.64,784.00,343.00,220.50,3.50,4,0.25,1,21.09,1.0
0.64,784.00,343.00,220.50,3.50,5,0.25,1,21.08,1.0
0.62,808.50,367.50,220.50,3.50,2,0.25,1,15.77,1.0
0.62,808.50,367.50,220.50,3.50,3,0.25,1,15.95,1.0
0.62,808.50,367.50,220.50,3.50,4,0.25,1,15.77,1.0
0.62,808.50,367.50,220.50,3.50,5,0.25,1,15.76,1.0
0.98,514.50,294.00,110.25,7.00,2,0.25,2,29.62,1.0
0.98,514.50,294.00,110.25,7.00,3,0.25,2,29.69,1.0
0.98,514.50,294.00,110.25,7.00,4,0.25,2,30.18,1.0
0.98,514.50,294.00,110.25,7.00,5,0.25,2,30.02,1.0
0.90,563.50,318.50,122.50,7.00,2,0.25,2,35.56,1.0
0.90,563.50,318.50,122.50,7.00,3,0.25,2,32.64,1.0
0.90,563.50,318.50,122.50,7.00,4,0.25,2,32.77,1.0
0.90,563.50,318.50,122.50,7.00,5,0.25,2,37.72,1.0
0.86,588.00,294.00,147.00,7.00,2,0.25,2,33.37,1.0
0.86,588.00,294.00,147.00,7.00,3,0.25,2,27.89,1.0
0.86,588.00,294.00,147.00,7.00,4,0.25,2,29.90,1.0
0.86,588.00,294.00,147.00,7.00,5,0.25,2,34.52,1.0
0.82,612.50,318.50,147.00,7.00,2,0.25,2,28.27,1.0
0.82,612.50,318.50,147.00,7.00,3,0.25,2,26.96,1.0
0.82,612.50,318.50,147.00,7.00,4,0.25,2,26.72,1.0
0.82,612.50,318.50,147.00,7.00,5,0.25,2,29.88,1.0
0.79,637.00,343.00,147.00,7.00,2,0.25,2,43.86,1.0
0.79,637.00,343.00,147.00,7.00,3,0.25,2,37.41,1.0
0.79,637.00,343.00,147.00,7.00,4,0.25,2,36.77,1.0
0.79,637.00,343.00,147.00,7.00,5,0.25,2,45.97,1.0
0.76,661.50,416.50,122.50,7.00,2,0.25,2,36.87,1.0
0.76,661.50,416.50,122.50,7.00,3,0.25,2,37.35,1.0
0.76,661.50,416.50,122.50,7.00,4,0.25,2,37.28,1.0
0.76,661.50,416.50,122.50,7.00,5,0.25,2,36.81,1.0
0.74,686.00,245.00,220.50,3.50,2,0.25,2,14.73,1.0
0.74,686.00,245.00,220.50,3.50,3,0.25,2,15.10,1.0
0.74,686.00,245.00,220.50,3.50,4,0.25,2,15.18,1.0
0.74,686.00,245.00,220.50,3.50,5,0.25,2,15.44,1.0
0.71,710.50,269.50,220.50,3.50,2,0.25,2,14.91,1.0
0.71,710.50,269.50,220.50,3.50,3,0.25,2,15.40,1.0
0.71,710.50,269.50,220.50,3.50,4,0.25,2,14.94,1.0
0.71,710.50,269.50,220.50,3.50,5,0.25,2,15.32,1.0
0.69,735.00,294.00,220.50,3.50,2,0.25,2,15.52,1.0
0.69,735.00,294.00,220.50,3.50,3,0.25,2,15.85,1.0
0.69,735.00,294.00,220.50,3.50,4,0.25,2,15.66,1.0
0.69,735.00,294.00,220.50,3.50,5,0.25,2,15.99,1.0
0.66,759.50,318.50,220.50,3.50,2,0.25,2,15.89,1.0
0.66,759.50,318.50,220.50,3.50,3,0.25,2,15.85,1.0
0.66,759.50,318.50,220.50,3.50,4,0.25,2,16.22,1.0
0.66,759.50,318.50,220.50,3.50,5,0.25,2,15.87,1.0
0.64,784.00,343.00,220.50,3.50,2,0.25,2,20.47,1.0
0.64,784.00,343.00,220.50,3.50,3,0.25,2,20.56,1.0
0.64,784.00,343.00,220.50,3.50,4,0.25,2,20.48,1.0
0.64,784.00,343.00,220.50,3.50,5,0.25,2,20.43,1.0
0.62,808.50,367.50,220.50,3.50,2,0.25,2,15.32,1.0
0.62,808.50,367.50,220.50,3.50,3,0.25,2,15.64,1.0
0.62,808.50,367.50,220.50,3.50,4,0.25,2,15.14,1.0
0.62,808.50,367.50,220.50,3.50,5,0.25,2,15.30,1.0
0.98,514.50,294.00,110.25,7.00,2,0.25,3,29.43,1.0
0.98,514.50,294.00,110.25,7.00,3,0.25,3,29.78,1.0
0.98,514.50,294.00,110.25,7.00,4,0.25,3,30.10,1.0
