AT,V,AP,RH,PE,AT-V,AT-AP,AT-RH,AT-PE,AP-RH,AP-PE
23.87,63.94,1019.02,44.28,445.11,0.37,0.02,0.54,0.05,23.01,2.29
26.09,58.41,1013.64,64.58,438.86,0.45,0.03,0.40,0.06,15.70,2.31
29.27,66.85,1011.11,63.25,440.98,0.44,0.03,0.46,0.07,15.99,2.29
27.38,74.16,1010.08,78.61,436.65,0.37,0.03,0.35,0.06,12.85,2.31
24.81,63.94,1018.76,44.51,444.26,0.39,0.02,0.56,0.06,22.89,2.29
12.75,44.03,1007.29,89.46,465.86,0.29,0.01,0.14,0.03,11.26,2.16
24.66,63.73,1011.40,74.52,444.37,0.39,0.02,0.33,0.06,13.57,2.28
16.38,47.45,1010.08,88.86,450.69,0.35,0.02,0.18,0.04,11.37,2.24
13.91,39.35,1014.69,75.51,469.02,0.35,0.01,0.18,0.03,13.44,2.16
23.18,51.30,1012.04,78.64,448.86,0.45,0.02,0.29,0.05,12.87,2.25
22.47,47.45,1007.62,76.65,447.14,0.47,0.02,0.29,0.05,13.15,2.25
13.39,44.85,1017.24,80.44,469.18,0.30,0.01,0.17,0.03,12.65,2.17
9.28,41.54,1018.33,79.89,482.80,0.22,0.01,0.12,0.02,12.75,2.11
11.82,42.86,1014.12,88.28,476.70,0.28,0.01,0.13,0.02,11.49,2.13
10.27,40.64,1020.63,84.60,474.99,0.25,0.01,0.12,0.02,12.06,2.15
22.92,63.94,1019.28,42.69,444.22,0.36,0.02,0.54,0.05,23.88,2.29
16.00,37.87,1020.24,78.41,461.33,0.42,0.02,0.20,0.03,13.01,2.21
21.22,43.43,1010.96,61.07,448.06,0.49,0.02,0.35,0.05,16.55,2.26
13.46,44.71,1014.51,50.00,474.60,0.30,0.01,0.27,0.03,20.29,2.14
9.39,40.11,1029.14,77.29,473.05,0.23,0.01,0.12,0.02,13.32,2.18
31.07,73.50,1010.58,43.66,432.06,0.42,0.03,0.71,0.07,23.15,2.34
12.82,38.62,1018.71,83.80,467.41,0.33,0.01,0.15,0.03,12.16,2.18
32.57,78.92,1011.60,66.47,430.12,0.41,0.03,0.49,0.08,15.22,2.35
8.11,42.18,1014.82,93.09,473.62,0.19,0.01,0.09,0.02,10.90,2.14
13.92,39.39,1012.94,80.52,471.81,0.35,0.01,0.17,0.03,12.58,2.15
23.04,59.43,1010.23,68.99,442.99,0.39,0.02,0.33,0.05,14.64,2.28
27.31,64.44,1014.65,57.27,442.77,0.42,0.03,0.48,0.06,17.72,2.29
5.91,39.33,1010.18,95.53,491.49,0.15,0.01,0.06,0.01,10.57,2.06
25.26,61.08,1013.68,71.72,447.46,0.41,0.02,0.35,0.06,14.13,2.27
27.97,58.84,1002.25,57.88,446.11,0.48,0.03,0.48,0.06,17.32,2.25
26.08,52.30,1007.03,63.34,442.44,0.50,0.03,0.41,0.06,15.90,2.28
29.01,65.71,1013.61,48.07,446.22,0.44,0.03,0.60,0.07,21.09,2.27
12.18,40.10,1016.67,91.87,471.49,0.30,0.01,0.13,0.03,11.07,2.16
13.76,45.87,1008.89,87.27,463.50,0.30,0.01,0.16,0.03,11.56,2.18
25.50,58.79,1016.02,64.40,440.01,0.43,0.03,0.40,0.06,15.78,2.31
28.26,65.34,1014.56,43.40,441.03,0.43,0.03,0.65,0.06,23.38,2.30
21.39,62.96,1019.49,72.24,452.68,0.34,0.02,0.30,0.05,14.11,2.25
7.26,40.69,1020.43,90.22,474.91,0.18,0.01,0.08,0.02,11.31,2.15
10.54,34.03,1018.71,74.00,478.77,0.31,0.01,0.14,0.02,13.77,2.13
27.71,74.34,998.14,71.85,434.20,0.37,0.03,0.39,0.06,13.89,2.30
23.11,68.30,1017.83,86.62,437.91,0.34,0.02,0.27,0.05,11.75,2.32
7.51,41.01,1024.61,97.41,477.61,0.18,0.01,0.08,0.02,10.52,2.15
26.46,74.67,1016.65,84.44,431.65,0.35,0.03,0.31,0.06,12.04,2.36
29.34,74.34,998.58,81.55,430.57,0.39,0.03,0.36,0.07,12.25,2.32
10.32,42.28,1008.82,75.66,481.09,0.24,0.01,0.14,0.02,13.33,2.10
22.74,61.02,1009.56,79.41,445.56,0.37,0.02,0.29,0.05,12.71,2.27
13.48,39.85,1012.71,58.91,475.74,0.34,0.01,0.23,0.03,17.19,2.13
25.52,69.75,1010.36,90.06,435.12,0.37,0.03,0.28,0.06,11.22,2.32
21.58,67.25,1017.39,79.00,446.15,0.32,0.02,0.27,0.05,12.88,2.28
27.66,76.86,1001.31,69.47,436.64,0.36,0.03,0.40,0.06,14.41,2.29
26.96,69.45,1013.89,51.47,436.69,0.39,0.03,0.52,0.06,19.70,2.32
12.29,42.18,1016.53,83.13,468.75,0.29,0.01,0.15,0.03,12.23,2.17
15.86,43.02,1012.18,40.33,466.60,0.37,0.02,0.39,0.03,25.10,2.17
13.87,45.08,1024.42,81.69,465.48,0.31,0.01,0.17,0.03,12.54,2.20
24.09,73.68,1014.93,94.55,441.34,0.33,0.02,0.25,0.05,10.73,2.30
20.45,69.45,1012.53,91.81,441.83,0.29,0.02,0.22,0.05,11.03,2.29
15.07,39.30,1019.00,63.62,464.70,0.38,0.01,0.24,0.03,16.02,2.19
32.72,69.75,1009.60,49.35,437.99,0.47,0.03,0.66,0.07,20.46,2.31
18.23,58.96,1015.55,69.61,459.12,0.31,0.02,0.26,0.04,14.59,2.21
35.56,68.94,1006.56,38.75,429.69,0.52,0.04,0.92,0.08,25.98,2.34
18.36,51.43,1010.57,90.17,459.80,0.36,0.02,0.20,0.04,11.21,2.20
26.35,64.05,1009.81,81.24,433.63,0.41,0.03,0.32,0.06,12.43,2.33
25.92,60.95,1014.62,48.46,442.84,0.43,0.03,0.53,0.06,20.94,2.29
8.01,41.66,1014.49,76.72,485.13,0.19,0.01,0.10,0.02,13.22,2.09
19.63,52.72,1025.09,51.16,459.12,0.37,0.02,0.38,0.04,20.04,2.23
20.02,67.32,1012.05,76.34,445.31,0.30,0.02,0.26,0.04,13.26,2.27
10.08,40.72,1022.70,67.30,480.80,0.25,0.01,0.15,0.02,15.20,2.13
27.23,66.48,1005.23,52.38,432.55,0.41,0.03,0.52,0.06,19.19,2.32
23.37,63.77,1013.42,76.44,443.86,0.37,0.02,0.31,0.05,13.26,2.28
18.74,59.21,1018.30,91.55,449.77,0.32,0.02,0.20,0.04,11.12,2.26
14.81,43.69,1017.19,71.90,470.71,0.34,0.01,0.21,0.03,14.15,2.16
23.10,51.30,1011.93,80.05,452.17,0.45,0.02,0.29,0.05,12.64,2.24
10.72,41.38,1021.60,63.77,478.29,0.26,0.01,0.17,0.02,16.02,2.14
29.46,71.94,1006.96,62.26,428.54,0.41,0.03,0.47,0.07,16.17,2.35
8.10,40.64,1020.66,89.04,478.27,0.20,0.01,0.09,0.02,11.46,2.13
27.29,62.66,1007.63,58.02,439.58,0.44,0.03,0.47,0.06,17.37,2.29
17.10,49.69,1005.53,81.82,457.32,0.34,0.02,0.21,0.04,12.29,2.20
11.49,44.20,1018.79,91.14,475.51,0.26,0.01,0.13,0.02,11.18,2.14
23.69,65.59,1010.85,88.92,439.66,0.36,0.02,0.27,0.05,11.37,2.30
13.51,40.89,1011.03,84.83,471.99,0.33,0.01,0.16,0.03,11.92,2.14
9.64,39.35,1015.10,91.76,479.81,0.24,0.01,0.11,0.02,11.06,2.12
25.65,78.92,1010.83,86.56,434.78,0.33,0.03,0.30,0.06,11.68,2.32
21.59,61.87,1011.18,57.21,446.58,0.35,0.02,0.38,0.05,17.67,2.26
27.98,58.33,1013.92,54.25,437.76,0.48,0.03,0.52,0.06,18.69,2.32
18.80,39.72,1001.24,63.80,459.36,0.47,0.02,0.29,0.04,15.69,2.18
18.28,44.71,1016.99,33.71,462.28,0.41,0.02,0.54,0.04,30.17,2.20
13.55,43.48,1016.08,67.25,464.33,0.31,0.01,0.20,0.03,15.11,2.19
22.99,46.21,1010.71,60.11,444.36,0.50,0.02,0.38,0.05,16.81,2.27
23.94,59.39,1014.32,74.55,438.64,0.40,0.02,0.32,0.05,13.61,2.31
13.74,34.03,1018.69,67.34,470.49,0.40,0.01,0.20,0.03,15.13,2.17
21.30,41.10,1001.86,42.75,455.13,0.52,0.02,0.50,0.05,23.44,2.20
27.54,66.93,1017.06,55.20,450.22,0.41,0.03,0.50,0.06,18.43,2.26
24.81,63.73,1009.34,83.61,440.43,0.39,0.02,0.30,0.06,12.07,2.29
4.97,42.85,1014.02,88.78,482.98,0.12,0.00,0.06,0.01,11.42,2.10
15.22,50.88,1014.19,100.12,460.44,0.30,0.02,0.15,0.03,10.13,2.20
23.88,54.20,1012.81,64.52,444.97,0.44,0.02,0.37,0.05,15.70,2.28
33.01,68.67,1005.20,51.41,433.94,0.48,0.03,0.64,0.08,19.55,2.32
25.98,73.18,1012.28,85.78,439.73,0.36,0.03,0.30,0.06,11.80,2.30
28.18,73.88,1005.89,75.41,434.48,0.38,0.03,0.37,0.06,13.34,2.32
21.67,60.84,1017.93,81.63,442.33,0.36,0.02,0.27,0.05,12.47,2.30
17.67,45.09,1014.26,51.92,457.67,0.39,0.02,0.34,0.04,19.54,2.22
21.37,57.76,1018.80,70.12,454.66,0.37,0.02,0.30,0.05,14.53,2.24
28.69,67.25,1017.71,53.83,432.21,0.43,0.03,0.53,0.07,18.91,2.35
16.61,43.77,1012.25,77.23,457.66,0.38,0.02,0.22,0.04,13.11,2.21
27.91,63.76,1010.27,65.67,435.21,0.44,0.03,0.43,0.06,15.38,2.32
20.97,47.43,1007.64,71.18,448.22,0.44,0.02,0.29,0.05,14.16,2.25
10.80,41.66,1013.79,81.96,475.51,0.26,0.01,0.13,0.02,12.37,2.13
20.61,62.91,1013.24,79.54,446.53,0.33,0.02,0.26,0.05,12.74,2.27
25.45,57.32,1011.70,47.09,441.30,0.44,0.03,0.54,0.06,21.48,2.29
30.16,69.34,1007.67,57.69,433.54,0.43,0.03,0.52,0.07,17.47,2.32
4.99,39.04,1020.45,78.89,472.52,0.13,0.00,0.06,0.01,12.94,2.16
10.51,44.78,1012.59,85.29,474.77,0.23,0.01,0.12,0.02,11.87,2.13
33.79,69.05,1001.62,40.13,435.10,0.49,0.03,0.84,0.08,24.96,2.30
21.34,59.80,1016.92,77.06,450.74,0.36,0.02,0.28,0.05,13.20,2.26
23.40,65.06,1014.32,67.38,442.70,0.36,0.02,0.35,0.05,15.05,2.29
32.21,68.14,1003.34,62.44,426.56,0.47,0.03,0.52,0.08,16.07,2.35
14.26,42.32,1016.00,77.43,463.71,0.34,0.01,0.18,0.03,13.12,2.19
27.71,66.93,1016.85,58.77,447.06,0.41,0.03,0.47,0.06,17.30,2.27
21.95,57.76,1018.02,67.72,452.27,0.38,0.02,0.32,0.05,15.03,2.25
25.76,63.94,1018.49,42.14,445.78,0.40,0.03,0.61,0.06,24.17,2.28
23.68,68.30,1017.93,84.16,438.65,0.35,0.02,0.28,0.05,12.10,2.32
8.28,40.77,1011.55,89.79,480.15,0.20,0.01,0.09,0.02,11.27,2.11
23.44,62.52,1016.46,67.21,447.19,0.37,0.02,0.35,0.05,15.12,2.27
25.32,48.41,1008.47,72.14,443.04,0.52,0.03,0.35,0.06,13.98,2.28
3.94,39.90,1008.06,97.49,488.81,0.10,0.00,0.04,0.01,10.34,2.06
17.30,57.76,1016.26,87.74,455.75,0.30,0.02,0.20,0.04,11.58,2.23
18.20,49.39,1018.83,96.30,455.86,0.37,0.02,0.19,0.04,10.58,2.23
21.43,46.97,1013.94,61.25,457.68,0.46,0.02,0.35,0.05,16.55,2.22
11.16,40.05,1014.95,88.38,479.11,0.28,0.01,0.13,0.02,11.48,2.12
30.38,74.16,1007.44,74.77,432.84,0.41,0.03,0.41,0.07,13.47,2.33
23.36,62.52,1016.18,68.18,448.37,0.37,0.02,0.34,0.05,14.90,2.27
21.69,47.45,1007.56,77.20,447.06,0.46,0.02,0.28,0.05,13.05,2.25
23.62,49.21,1014.10,49.54,443.53,0.48,0.02,0.48,0.05,20.47,2.29
21.87,61.45,1011.13,92.22,445.21,0.36,0.02,0.24,0.05,10.96,2.27
29.25,66.51,1015.53,33.65,441.70,0.44,0.03,0.87,0.07,30.18,2.30
20.03,66.86,1013.05,64.59,450.93,0.30,0.02,0.31,0.04,15.68,2.25
18.14,49.78,1002.95,100.09,451.44,0.36,0.02,0.18,0.04,10.02,2.22
24.23,56.89,1012.32,68.04,441.29,0.43,0.02,0.36,0.05,14.88,2.29
18.11,44.85,1014.48,48.94,458.85,0.40,0.02,0.37,0.04,20.73,2.21
6.57,43.65,1018.24,74.47,481.46,0.15,0.01,0.09,0.01,13.67,2.11
12.56,43.41,1016.93,81.02,467.19,0.29,0.01,0.16,0.03,12.55,2.18
13.40,41.58,1020.50,71.17,461.54,0.32,0.01,0.19,0.03,14.34,2.21
27.10,52.84,1006.28,53.85,439.08,0.51,0.03,0.50,0.06,18.69,2.29
14.28,42.74,1028.79,70.67,467.22,0.33,0.01,0.20,0.03,14.56,2.20
16.29,44.34,1019.49,59.36,468.80,0.37,0.02,0.27,0.03,17.17,2.17
31.24,71.98,1004.66,57.17,426.93,0.43,0.03,0.55,0.07,17.57,2.35
10.57,37.73,1024.36,70.29,474.65,0.28,0.01,0.15,0.02,14.57,2.16
13.80,44.21,1022.93,83.37,468.97,0.31,0.01,0.17,0.03,12.27,2.18
25.30,71.58,1010.18,87.36,433.97,0.35,0.03,0.29,0.06,11.56,2.33
18.06,50.16,1009.52,100.09,450.53,0.36,0.02,0.18,0.04,10.09,2.24
25.42,59.04,1011.98,68.78,444.51,0.43,0.03,0.37,0.06,14.71,2.28
15.07,40.69,1015.29,70.98,469.03,0.37,0.01,0.21,0.03,14.30,2.16
11.75,71.14,1019.36,75.68,466.56,0.17,0.01,0.16,0.03,13.47,2.18
20.23,52.05,1012.15,47.49,457.57,0.39,0.02,0.43,0.04,21.31,2.21
27.31,59.54,1006.24,71.99,440.13,0.46,0.03,0.38,0.06,13.98,2.29
28.57,69.84,1003.57,66.55,433.24,0.41,0.03,0.43,0.07,15.08,2.32
17.90,43.72,1008.64,74.73,452.55,0.41,0.02,0.24,0.04,13.50,2.23
23.83,71.37,1002.04,64.78,443.29,0.33,0.02,0.37,0.05,15.47,2.26
27.92,74.99,1005.47,75.13,431.76,0.37,0.03,0.37,0.06,13.38,2.33
17.34,44.78,1007.81,56.38,454.97,0.39,0.02,0.31,0.04,17.88,2.22
17.94,63.07,1012.42,94.35,456.70,0.28,0.02,0.19,0.04,10.73,2.22
6.40,39.90,1007.75,86.55,486.03,0.16,0.01,0.07,0.01,11.64,2.07
11.78,39.96,1011.37,82.95,472.79,0.29,0.01,0.14,0.02,12.19,2.14
20.28,57.25,1010.12,88.42,452.03,0.35,0.02,0.23,0.04,11.42,2.23
21.04,54.20,1012.26,85.61,443.41,0.39,0.02,0.25,0.05,11.82,2.28
25.11,67.32,1014.49,58.39,441.93,0.37,0.02,0.43,0.06,17.37,2.30
30.28,70.98,1007.51,74.28,432.64,0.43,0.03,0.41,0.07,13.56,2.33
8.14,36.24,1013.15,87.85,480.25,0.22,0.01,0.09,0.02,11.53,2.11
16.86,39.63,1004.47,83.50,466.68,0.43,0.02,0.20,0.04,12.03,2.15
6.25,40.07,1020.19,65.24,494.39,0.16,0.01,0.10,0.01,15.64,2.06
22.35,54.42,1012.46,75.01,454.72,0.41,0.02,0.30,0.05,13.50,2.23
17.98,56.85,1012.28,84.52,448.71,0.32,0.02,0.21,0.04,11.98,2.26
21.19,42.48,1013.43,80.52,469.76,0.50,0.02,0.26,0.05,12.59,2.16
20.94,44.89,1009.64,75.14,450.71,0.47,0.02,0.28,0.05,13.44,2.24
24.23,58.79,1009.80,75.75,444.01,0.41,0.02,0.32,0.05,13.33,2.27
19.18,58.20,1017.46,76.72,453.20,0.33,0.02,0.25,0.04,13.26,2.25
20.88,57.85,1012.39,85.47,450.87,0.36,0.02,0.24,0.05,11.84,2.25
23.67,63.86,1019.67,57.95,441.73,0.37,0.02,0.41,0.05,17.60,2.31
14.12,39.52,1018.41,78.32,465.09,0.36,0.01,0.18,0.03,13.00,2.19
25.23,64.63,1020.59,52.20,447.28,0.39,0.02,0.48,0.06,19.55,2.28
6.54,39.33,1011.54,93.69,491.16,0.17,0.01,0.07,0.01,10.80,2.06
20.08,62.52,1017.99,75.74,450.98,0.32,0.02,0.27,0.04,13.44,2.26
24.67,63.56,1013.75,67.56,446.30,0.39,0.02,0.37,0.06,15.01,2.27
27.82,79.74,1008.37,69.46,436.48,0.35,0.03,0.40,0.06,14.52,2.31
15.55,42.03,1017.41,74.58,460.84,0.37,0.02,0.21,0.03,13.64,2.21
24.26,69.51,1013.43,53.23,442.56,0.35,0.02,0.46,0.05,19.04,2.29
13.45,41.49,1020.19,88.72,467.30,0.32,0.01,0.15,0.03,11.50,2.18
11.06,40.64,1021.47,96.16,479.13,0.27,0.01,0.12,0.02,10.62,2.13
24.91,52.30,1008.72,68.26,441.15,0.48,0.02,0.36,0.06,14.78,2.29
22.39,59.04,1011.78,86.39,445.52,0.38,0.02,0.26,0.05,11.71,2.27
11.95,40.69,1015.62,85.34,475.40,0.29,0.01,0.14,0.03,11.90,2.14
14.85,40.69,1014.91,72.64,469.30,0.36,0.01,0.20,0.03,13.97,2.16
10.11,41.62,1017.17,97.82,463.57,0.24,0.01,0.10,0.02,10.40,2.19
23.67,68.67,1006.71,77.22,445.32,0.34,0.02,0.31,0.05,13.04,2.26
16.14,44.21,1020.36,80.59,461.03,0.37,0.02,0.20,0.04,12.66,2.21
15.11,43.13,1014.99,46.91,466.74,0.35,0.01,0.32,0.03,21.64,2.17
24.14,59.87,1018.47,57.76,444.04,0.40,0.02,0.42,0.05,17.63,2.29
30.08,67.25,1017.60,53.09,434.01,0.45,0.03,0.57,0.07,19.17,2.34
14.77,44.90,1020.50,84.31,465.23,0.33,0.01,0.18,0.03,12.10,2.19
27.60,69.34,1009.63,71.58,440.60,0.40,0.03,0.39,0.06,14.10,2.29
13.89,44.84,1023.66,92.97,466.74,0.31,0.01,0.15,0.03,11.01,2.19
26.85,75.60,1017.43,74.55,433.48,0.36,0.03,0.36,0.06,13.65,2.35
12.41,40.96,1023.36,78.96,473.59,0.30,0.01,0.16,0.03,12.96,2.16
13.08,41.74,1020.75,64.44,474.81,0.31,0.01,0.20,0.03,15.84,2.15
18.93,44.06,1017.58,68.23,454.75,0.43,0.02,0.28,0.04,14.91,2.24
20.50,49.69,1009.60,70.81,452.94,0.41,0.02,0.29,0.05,14.26,2.23
30.72,69.13,1009.94,61.66,435.83,0.44,0.03,0.50,0.07,16.38,2.32
7.55,39.22,1014.53,77.76,482.19,0.19,0.01,0.10,0.02,13.05,2.10
13.49,44.47,1030.46,69.49,466.66,0.30,0.01,0.19,0.03,14.83,2.21
15.62,40.12,1013.03,96.26,462.59,0.39,0.02,0.16,0.03,10.52,2.19
24.80,64.63,1020.69,55.74,447.82,0.38,0.02,0.44,0.06,18.31,2.28
10.03,41.62,1014.55,95.61,462.73,0.24,0.01,0.10,0.02,10.61,2.19
22.43,63.21,1012.06,84.75,447.98,0.35,0.02,0.26,0.05,11.94,2.26
14.95,39.31,1009.15,75.30,462.72,0.38,0.01,0.20,0.03,13.40,2.18
24.78,58.46,1016.82,67.50,442.42,0.42,0.02,0.37,0.06,15.06,2.30
23.20,48.41,1008.64,80.92,444.69,0.48,0.02,0.29,0.05,12.46,2.27
14.01,39.00,1016.73,79.23,466.70,0.36,0.01,0.18,0.03,12.83,2.18
19.40,64.63,1020.38,81.10,453.84,0.30,0.02,0.24,0.04,12.58,2.25
30.15,67.32,1013.83,32.80,436.92,0.45,0.03,0.92,0.07,30.91,2.32
6.91,36.08,1021.82,84.31,486.37,0.19,0.01,0.08,0.01,12.12,2.10
29.04,60.07,1015.42,46.15,440.43,0.48,0.03,0.63,0.07,22.00,2.31
26.02,63.07,1010.94,53.96,446.82,0.41,0.03,0.48,0.06,18.73,2.26
5.89,39.48,1005.11,59.83,484.91,0.15,0.01,0.10,0.01,16.80,2.07
26.52,71.64,1008.27,75.30,437.76,0.37,0.03,0.35,0.06,13.39,2.30
28.53,68.08,1013.27,42.53,438.91,0.42,0.03,0.67,0.07,23.82,2.31
16.59,39.54,1007.97,70.58,464.19,0.42,0.02,0.24,0.04,14.28,2.17
22.95,67.79,1009.89,91.69,442.19,0.34,0.02,0.25,0.05,11.01,2.28
23.96,47.43,1008.38,63.55,446.86,0.51,0.02,0.38,0.05,15.87,2.26
17.48,44.20,1018.89,61.51,457.15,0.40,0.02,0.28,0.04,16.56,2.23
6.69,43.65,1020.14,69.55,482.57,0.15,0.01,0.10,0.01,14.67,2.11
10.25,41.26,1007.44,98.08,476.03,0.25,0.01,0.10,0.02,10.27,2.12
28.87,72.58,1008.69,79.34,428.89,0.40,0.03,0.36,0.07,12.71,2.35
12.04,40.23,1018.07,81.28,472.70,0.30,0.01,0.15,0.03,12.53,2.15
22.58,52.30,1009.04,78.99,445.60,0.43,0.02,0.29,0.05,12.77,2.26
15.12,52.05,1014.63,80.38,464.78,0.29,0.01,0.19,0.03,12.62,2.18
25.48,58.95,1017.02,51.16,440.42,0.43,0.03,0.50,0.06,19.88,2.31
27.87,70.79,1003.96,72.17,428.41,0.39,0.03,0.39,0.07,13.91,2.34
23.72,70.47,1010.65,75.39,438.50,0.34,0.02,0.31,0.05,13.41,2.30
25.00,59.43,1007.84,68.91,438.28,0.42,0.02,0.36,0.06,14.63,2.30
8.42,40.64,1022.35,96.38,476.29,0.21,0.01,0.09,0.02,10.61,2.15
22.46,58.49,1011.50,70.54,448.46,0.38,0.02,0.32,0.05,14.34,2.26
29.92,57.19,1008.62,45.80,438.99,0.52,0.03,0.65,0.07,22.02,2.30
11.68,39.22,1017.90,57.95,471.80,0.30,0.01,0.20,0.02,17.57,2.16
14.04,42.44,1012.74,81.89,471.81,0.33,0.01,0.17,0.03,12.37,2.15
19.86,59.14,1016.12,69.32,449.82,0.34,0.02,0.29,0.04,14.66,2.26
25.99,68.08,1013.13,59.14,442.14,0.38,0.03,0.44,0.06,17.13,2.29
23.42,58.79,1009.74,81.54,441.46,0.40,0.02,0.29,0.05,12.38,2.29
10.60,40.22,1011.37,85.81,477.62,0.26,0.01,0.12,0.02,11.79,2.12
20.97,61.87,1011.45,65.41,446.76,0.34,0.02,0.32,0.05,15.46,2.26
14.14,39.82,1012.46,81.15,472.52,0.36,0.01,0.17,0.03,12.48,2.14
8.56,40.71,1021.27,95.87,471.58,0.21,0.01,0.09,0.02,10.65,2.17
24.86,72.39,1001.15,90.24,440.85,0.34,0.02,0.28,0.06,11.09,2.27
29.00,77.54,1011.33,75.13,431.37,0.37,0.03,0.39,0.07,13.46,2.34
27.59,71.97,1008.64,88.22,437.33,0.38,0.03,0.31,0.06,11.43,2.31
10.45,40.71,1015.68,81.48,469.22,0.26,0.01,0.13,0.02,12.47,2.16
8.51,40.78,1023.51,89.84,471.11,0.21,0.01,0.09,0.02,11.39,2.17
29.82,66.51,1010.98,43.57,439.17,0.45,0.03,0.68,0.07,23.20,2.30
22.56,62.26,1012.11,63.16,445.33,0.36,0.02,0.36,0.05,16.02,2.27
11.38,39.22,1018.62,57.14,473.71,0.29,0.01,0.20,0.02,17.83,2.15
20.25,57.76,1016.28,77.76,452.66,0.35,0.02,0.26,0.04,13.07,2.25
22.42,59.43,1007.12,90.56,440.99,0.38,0.02,0.25,0.05,11.12,2.28
14.85,38.91,1014.48,60.98,467.42,0.38,0.01,0.24,0.03,16.64,2.17
25.62,58.82,1010.02,70.31,444.14,0.44,0.03,0.36,0.06,14.37,2.27
19.85,56.53,1020.57,74.05,457.17,0.35,0.02,0.27,0.04,13.78,2.23
13.67,54.30,1015.92,75.42,467.87,0.25,0.01,0.18,0.03,13.47,2.17
24.39,70.72,1009.78,82.25,442.04,0.34,0.02,0.30,0.06,12.28,2.28
16.07,44.58,1019.52,67.95,471.36,0.36,0.02,0.24,0.03,15.00,2.16
11.60,39.10,1009.81,100.09,460.70,0.30,0.01,0.12,0.03,10.09,2.19
31.38,70.83,1010.35,47.28,431.33,0.44,0.03,0.66,0.07,21.37,2.34
29.91,76.86,998.59,72.41,432.60,0.39,0.03,0.41,0.07,13.79,2.31
19.67,59.39,1014.07,77.67,447.61,0.33,0.02,0.25,0.04,13.06,2.27
27.18,64.79,1016.27,63.70,443.87,0.42,0.03,0.43,0.06,15.95,2.29
21.39,52.30,1009.20,79.77,446.87,0.41,0.02,0.27,0.05,12.65,2.26
10.45,41.01,1020.57,93.84,465.74,0.25,0.01,0.11,0.02,10.88,2.19
19.46,56.89,1014.02,84.95,447.86,0.34,0.02,0.23,0.04,11.94,2.26
23.55,62.96,1020.16,70.16,447.65,0.37,0.02,0.34,0.05,14.54,2.28
23.35,63.47,1011.78,84.24,437.87,0.37,0.02,0.28,0.05,12.01,2.31
9.26,41.66,1016.87,73.32,483.51,0.22,0.01,0.13,0.02,13.87,2.10
10.30,41.46,1018.21,86.17,479.65,0.25,0.01,0.12,0.02,11.82,2.12
